transition,label,sample_idx,gold,baseline_prediction,sircl_prediction,baseline_correct,sircl_correct,baseline_radius_mean,sircl_radius_mean,baseline_diversity_mean,sircl_diversity_mean,baseline_path_length,sircl_path_length,baseline_raw_output,sircl_raw_output
recovered,Recovered by +SIRCL,888,10.0,6.0,10.0,False,True,14.52406120300293,7.850663185119629,21.963464736938477,12.972318649291992,118.377685546875,48.39455795288086,The answer is: 6,The answer is: 10
recovered,Recovered by +SIRCL,225,9.0,12.0,9.0,False,True,12.94515323638916,6.568758964538574,20.22914695739746,11.093232154846191,93.23098754882812,40.15082931518555,The answer is: 12,The answer is: 9
recovered,Recovered by +SIRCL,702,2800.0,3200.0,2800.0,False,True,14.338004112243652,8.082269668579102,21.877883911132812,13.121277809143066,122.83837890625,51.8232536315918,The answer is: 3200,The answer is: 2800
recovered,Recovered by +SIRCL,616,10.0,11.0,10.0,False,True,13.174850463867188,7.241836071014404,21.383317947387695,12.234756469726562,77.61112213134766,44.98678970336914,The answer is: 11,The answer is: 10
recovered,Recovered by +SIRCL,653,80.0,0.0,80.0,False,True,12.874661445617676,6.948026180267334,19.56390380859375,11.019878387451172,55.877357482910156,39.843788146972656,The answer is: 0,The answer is: 80
recovered,Recovered by +SIRCL,781,17.0,2.0,17.0,False,True,13.492707252502441,7.691173553466797,20.53373146057129,12.521750450134277,106.57881164550781,48.846038818359375,The answer is: 2,The answer is: 17
recovered,Recovered by +SIRCL,549,398.0,402.0,398.0,False,True,14.253654479980469,8.510416984558105,23.09306526184082,14.018654823303223,104.87505340576172,53.5717887878418,The answer is: 402,The answer is: 398
recovered,Recovered by +SIRCL,788,100.0,150.0,100.0,False,True,13.605765342712402,7.943507671356201,22.415424346923828,13.385955810546875,81.20318603515625,49.43195343017578,The answer is: 150,The answer is: 100
recovered,Recovered by +SIRCL,752,240.0,300.0,240.0,False,True,12.577489852905273,6.976313591003418,20.957002639770508,11.906349182128906,82.9229507446289,47.174888610839844,The answer is: 300,The answer is: 240
recovered,Recovered by +SIRCL,637,17.0,7.0,17.0,False,True,13.858771324157715,8.258435249328613,22.361927032470703,13.855815887451172,80.44725799560547,52.2022590637207,The answer is: 7,The answer is: 17
regressed,Regressed with +SIRCL,455,1920.0,1920.0,960.0,True,False,10.145520210266113,10.709101676940918,16.33196258544922,17.358978271484375,68.99919128417969,75.27787017822266,The answer is: 1920,The answer is: 960
regressed,Regressed with +SIRCL,58,57.0,57.0,47.0,True,False,11.2909517288208,10.815156936645508,17.85188102722168,17.451908111572266,85.73155975341797,76.94676971435547,The answer is: 57,The answer is: 47
regressed,Regressed with +SIRCL,393,20.0,20.0,26.67,True,False,9.85120964050293,9.335331916809082,15.45777702331543,15.333881378173828,62.722572326660156,61.47047805786133,The answer is: 20,The answer is: 26.67
regressed,Regressed with +SIRCL,783,4.0,4.0,5.0,True,False,8.575053215026855,7.427943229675293,14.430405616760254,12.088360786437988,57.330596923828125,49.25260925292969,The answer is: 4,The answer is: 5
