sample_idx,gold,baseline_prediction,sircl_prediction,baseline_correct,sircl_correct,gain,transition,baseline_radius_mean,baseline_radius_max,baseline_early_radius_mean,baseline_late_radius_mean,baseline_radius_change,baseline_pairwise_diversity_mean,baseline_pairwise_diversity_std,baseline_path_length,baseline_span,baseline_effective_movement_ratio,baseline_smoothness,baseline_dist_to_final_mean,baseline_backtracking_rate,baseline_violation_rate,sircl_radius_mean,sircl_radius_max,sircl_early_radius_mean,sircl_late_radius_mean,sircl_radius_change,sircl_pairwise_diversity_mean,sircl_pairwise_diversity_std,sircl_path_length,sircl_span,sircl_effective_movement_ratio,sircl_smoothness,sircl_dist_to_final_mean,sircl_backtracking_rate,sircl_violation_rate
0,18.0,18.0,18.0,True,True,0,stable_correct,13.422775268554688,20.211315155029297,15.04818344116211,12.114147186279297,-2.9340362548828125,20.9797420501709,3.9980430603027344,103.01338195800781,29.26348304748535,0.2840745747089386,-0.14136841893196106,19.28348731994629,0.4000000059604645,1.0,8.669549942016602,18.29132843017578,11.7788667678833,6.118850231170654,-5.6600165367126465,14.092738151550293,6.444393157958984,60.373077392578125,22.424713134765625,0.37143564224243164,-0.010278677567839622,11.232007026672363,0.4000000059604645,1.0
1,3.0,3.0,3.0,True,True,0,stable_correct,12.301655769348145,18.951555252075195,14.14206314086914,9.597395896911621,-4.5446672439575195,20.46917724609375,6.734771251678467,81.59906005859375,21.52097511291504,0.2637404799461365,0.19270996749401093,14.786648750305176,0.4000000059604645,1.0,6.934974193572998,17.992143630981445,10.21173095703125,4.118622303009033,-6.093108654022217,11.762808799743652,7.348241806030273,42.252662658691406,19.921253204345703,0.47147923707962036,0.31681856513023376,7.955533504486084,0.20000000298023224,1.0
2,70000.0,30000.0,50000.0,False,False,0,stable_wrong,9.503640174865723,13.978876113891602,11.599055290222168,6.895776748657227,-4.703278541564941,15.550812721252441,3.955456018447876,70.48055267333984,17.99249267578125,0.25528308749198914,0.018016254529356956,12.062603950500488,0.20000000298023224,1.0,8.532878875732422,18.484935760498047,10.439327239990234,6.926856517791748,-3.5124707221984863,14.107120513916016,6.581301212310791,58.37077331542969,20.504337310791016,0.3512774705886841,0.021854501217603683,10.641724586486816,0.4000000059604645,1.0
3,540.0,540.0,540.0,True,True,0,stable_correct,12.86954402923584,20.220279693603516,15.695073127746582,9.488636016845703,-6.206437110900879,21.251319885253906,6.426190376281738,85.68366241455078,24.08690643310547,0.2811143398284912,0.10001774877309799,15.715432167053223,0.20000000298023224,1.0,7.144753932952881,17.06159019470215,10.483538627624512,4.6661458015441895,-5.817392826080322,11.94786262512207,6.845828533172607,43.81880187988281,19.212526321411133,0.43845394253730774,0.29301804304122925,8.266668319702148,0.4000000059604645,1.0
4,20.0,20.0,20.0,True,True,0,stable_correct,11.642723083496094,19.03293228149414,14.557522773742676,8.581595420837402,-5.975927352905273,19.14173126220703,5.008181095123291,80.48818969726562,24.40530776977539,0.30321601033210754,-0.0332682840526104,14.24285888671875,0.20000000298023224,1.0,7.614806175231934,19.701791763305664,10.665570259094238,4.8420257568359375,-5.823544502258301,12.812520027160645,8.031396865844727,48.49292755126953,21.418479919433594,0.4416825473308563,0.15904352068901062,8.955032348632812,0.4000000059604645,1.0
5,64.0,92.0,64.0,False,True,1,recovered,11.981080055236816,18.002315521240234,14.748530387878418,9.566985130310059,-5.181545257568359,19.291528701782227,4.984902381896973,74.52254486083984,22.781850814819336,0.30570414662361145,0.034146685153245926,14.669441223144531,0.0,1.0,8.914506912231445,20.5631160736084,10.99854564666748,7.315683841705322,-3.682861804962158,14.019095420837402,7.980686187744141,58.57958221435547,23.569019317626953,0.4023418724536896,0.07436930388212204,12.647538185119629,0.20000000298023224,1.0
6,260.0,260.0,260.0,True,True,0,stable_correct,13.4193696975708,19.95304298400879,15.13297176361084,11.553227424621582,-3.579744338989258,20.970319747924805,4.261715888977051,101.34490966796875,28.24858856201172,0.2787371277809143,-0.06430309265851974,19.129837036132812,0.20000000298023224,1.0,8.488004684448242,18.03122329711914,12.5777587890625,4.977171897888184,-7.600586891174316,14.493020057678223,6.352354049682617,60.54889678955078,20.72039794921875,0.3422093391418457,-0.10874657332897186,9.628702163696289,0.4000000059604645,1.0
7,160.0,120.0,80.0,False,False,0,stable_wrong,10.716804504394531,17.177204132080078,13.213528633117676,8.445791244506836,-4.76773738861084,17.16384506225586,4.548964023590088,70.26860809326172,22.251707077026367,0.3166663944721222,0.11765618622303009,13.89681625366211,0.0,1.0,7.662410736083984,16.664461135864258,9.545154571533203,5.706453323364258,-3.8387012481689453,12.79971981048584,5.656981945037842,52.09614562988281,19.716176986694336,0.3784574866294861,-0.05174954980611801,9.343754768371582,0.4000000059604645,1.0
8,45.0,220.0,55.0,False,False,0,stable_wrong,12.677821159362793,18.565298080444336,15.710917472839355,10.47009563446045,-5.240821838378906,19.567920684814453,5.129734039306641,84.0771484375,23.28444480895996,0.2769414186477661,0.07410259544849396,18.481449127197266,0.20000000298023224,1.0,9.409506797790527,20.56595802307129,12.032605171203613,7.344594955444336,-4.688010215759277,14.981402397155762,7.230614185333252,58.491451263427734,25.69582748413086,0.43930912017822266,-0.07124360650777817,12.555545806884766,0.0,1.0
9,460.0,460.0,460.0,True,True,0,stable_correct,13.267959594726562,19.649744033813477,16.484766006469727,10.396489143371582,-6.0882768630981445,20.746862411499023,5.39367151260376,87.90896606445312,25.41691017150879,0.2891276180744171,0.005819643847644329,18.49516487121582,0.0,1.0,9.12082576751709,15.46749496459961,10.011548042297363,8.86316967010498,-1.1483783721923828,13.975202560424805,5.019832134246826,63.16138458251953,20.360172271728516,0.3223515748977661,-0.3175034821033478,13.316383361816406,0.6000000238418579,1.0
