model,group,n_samples,rt_mean,rt_mean_ci_lo,rt_mean_ci_hi,rt_final_mean,cos_sim_consecutive_mean,cos_sim_all_pairs_mean,diversity_l2_mean,diversity_cosine_mean
simcon,correct,165,13.15016510228574,12.967875965410496,13.413440526574204,10.512110663905288,0.7845196723937988,0.6551260352134705,19.90725320384298,0.34487399017960396
simcon,wrong,135,11.33537585975001,11.056347442594156,11.631355392403073,8.664332200862743,0.8252096772193909,0.7081416845321655,17.20789934543382,0.29185829705665356
simcon,all_correct,153,13.247858997820472,13.007262293397547,13.476419705914962,10.584281254438014,0.7831210494041443,0.6521475911140442,20.042180791065785,0.3478524190864398
simcon,all_wrong,112,11.293174094995674,10.992679371791228,11.623747955255059,8.664987672652517,0.8243297934532166,0.7092435956001282,17.15686555398687,0.2907564045189584
simcon,mixed,35,11.665573075352883,11.131887133656715,12.218554813423935,8.980270154135567,0.8201889395713806,0.6994587779045105,17.70687391965897,0.3005411730266931
simcon,sircl_flips,23,11.540880105510261,10.863200008202783,12.3500423585406,8.66114033823428,0.8294948935508728,0.7027760148048401,17.456411721175524,0.29722403463151714
simcon,sircl_regress,12,11.904567934217907,11.120572694142659,12.656209764452209,9.591935634613037,0.8023524284362793,0.6931010484695435,18.186926466752244,0.306899021617447
simcon_sircl,correct,176,8.256152258290873,8.078497353162279,8.418774223192171,5.095374379645694,0.8284361958503723,0.708014190196991,12.604848363969655,0.29198586716770675
simcon_sircl,wrong,124,8.443154231743879,8.200183314016337,8.626548988856204,5.642535603815509,0.8394088745117188,0.7243272066116333,12.876881140213273,0.2756728763281367
simcon_sircl,all_correct,153,8.229206807584433,8.066119111825328,8.384493122548283,4.978364911733889,0.826785147190094,0.7063347697257996,12.56426007648294,0.2936651899317997
simcon_sircl,all_wrong,112,8.45426254795522,8.200657736958593,8.721592257650835,5.680341509836061,0.8398374915122986,0.7259526252746582,12.895034847893427,0.27404741286044493
simcon_sircl,mixed,35,8.402510721829472,8.007033631071751,8.9471641669468,5.67349214553833,0.8380436301231384,0.7157467603683472,12.817453679404323,0.28425328532200417
simcon_sircl,sircl_flips,23,8.435398082555452,7.881620187233694,9.039095361262376,5.873741709667703,0.8394187092781067,0.7191852927207947,12.874848711163889,0.2808147200848279
simcon_sircl,sircl_regress,12,8.339476613771348,7.769933915422076,8.891652200051716,5.289680480957031,0.8354077935218811,0.7091561555862427,12.707446535198487,0.2908438686932589
