idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
0,2,2,52,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.422775,8.66955,103.01338,60.373077
1,2,2,22,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,12.301656,6.934974,81.59906,42.252663
2,4,4,35,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,9.50364,8.532879,70.48055,58.370773
3,2,2,25,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,12.869544,7.144754,85.68366,43.8188
4,2,2,87,easy (1-2 steps),small (11-100),True,True,both_correct,True,False,regressed,11.642723,7.614806,80.48819,48.492928
5,5,5,41,hard (5-6 steps),small (11-100),False,True,recovered,False,True,recovered,11.98108,8.914507,74.522545,58.579582
6,3,3,32,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.41937,8.488005,101.34491,60.548897
7,4,4,51,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,10.7168045,7.6624107,70.26861,52.096146
8,7,7,82,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.677821,9.409507,84.07715,58.49145
9,5,5,44,hard (5-6 steps),medium (101-1K),True,True,both_correct,False,False,both_wrong,13.26796,9.120826,87.908966,63.161385
10,5,5,51,hard (5-6 steps),medium (101-1K),True,True,both_correct,False,False,both_wrong,12.834404,9.531602,92.25418,67.01357
11,4,4,45,medium (3-4 steps),medium (101-1K),False,True,recovered,False,False,both_wrong,14.123512,10.320762,106.027954,74.464134
12,4,4,53,medium (3-4 steps),small (11-100),False,True,recovered,False,True,recovered,12.696433,7.935256,99.166916,55.33685
13,3,2,46,medium (3-4 steps),small (11-100),True,False,regressed,False,False,both_wrong,11.525596,8.8271,90.32145,59.35577
14,5,4,37,hard (5-6 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.429853,9.561568,107.24898,76.83981
15,3,3,69,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,10.839277,9.508309,80.1412,55.85262
16,4,4,38,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,True,recovered,9.9482975,8.476277,79.2303,50.867565
17,4,4,41,medium (3-4 steps),large (>1K),False,False,both_wrong,False,True,recovered,14.39562,8.444891,109.96855,56.67475
18,3,3,21,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,12.392034,6.772487,92.089485,42.90806
19,4,4,51,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,9.905752,7.3743777,71.04932,51.04612
20,4,4,49,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.775251,11.057754,98.02409,85.045006
21,2,2,34,easy (1-2 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.057813,7.1230364,77.043304,43.48291
22,3,3,41,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,11.647248,7.867461,96.74929,52.431866
23,2,2,27,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,10.374278,7.591996,66.4737,52.20909
24,3,0,26,medium (3-4 steps),small (11-100),False,True,recovered,True,False,regressed,12.743027,7.257586,59.188602,43.495384
25,5,5,46,hard (5-6 steps),tiny (≤10),False,False,both_wrong,True,True,both_correct,14.110521,11.109213,104.953415,81.05633
26,2,1,45,easy (1-2 steps),medium (101-1K),False,False,both_wrong,False,True,recovered,13.568451,10.805949,93.04768,75.67887
27,2,1,41,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.753296,7.976467,92.912445,50.504276
28,2,2,39,easy (1-2 steps),small (11-100),True,True,both_correct,False,True,recovered,9.505541,6.695868,73.84261,40.706505
29,3,2,60,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,12.909078,8.922412,95.35389,57.399662
30,3,3,24,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,13.923852,8.736632,105.332054,60.59022
31,4,4,49,medium (3-4 steps),small (11-100),False,True,recovered,False,False,both_wrong,13.293628,9.44808,97.334854,61.997982
32,2,2,33,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.136565,7.800128,92.54832,49.085346
33,6,2,20,hard (5-6 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.825209,8.526755,110.67689,56.14918
34,3,2,28,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.958386,9.35847,106.452255,64.17481
35,3,3,33,medium (3-4 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,10.232165,7.9291606,79.147736,50.267925
36,3,3,26,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.181519,7.3842654,94.81018,47.170322
37,4,4,49,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,12.837782,8.986702,90.47819,59.8085
38,5,5,34,hard (5-6 steps),tiny (≤10),False,True,recovered,False,False,both_wrong,9.488099,7.1087174,63.32146,49.8499
39,7,6,65,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,9.752792,8.470103,70.55582,56.60116
40,2,2,31,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,11.671892,6.456879,79.33262,42.246357
41,2,2,95,easy (1-2 steps),medium (101-1K),False,True,recovered,True,True,both_correct,11.693593,7.6062493,90.02851,47.755665
42,2,2,65,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.452987,8.217442,102.494354,48.969555
43,4,2,41,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,12.069658,8.28097,108.70948,59.968815
44,4,4,48,medium (3-4 steps),small (11-100),False,False,both_wrong,True,True,both_correct,9.438402,6.4728117,67.35314,44.19591
45,5,4,79,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,12.838172,8.648706,87.80818,58.36313
46,4,1,70,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,9.971466,6.429253,81.56643,41.354473
47,6,6,36,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,11.918832,9.675392,70.23039,68.83258
48,2,2,31,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.926997,7.478199,92.15375,46.80126
49,3,3,31,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.35837,8.925217,108.81725,66.4535
50,3,3,29,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,11.128949,6.719409,83.84685,41.73989
51,3,3,36,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,10.894567,7.9566526,75.86905,51.155655
52,3,3,45,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,11.590403,8.179079,88.6466,58.18156
53,3,3,78,medium (3-4 steps),small (11-100),False,False,both_wrong,True,True,both_correct,12.602881,9.787033,87.96863,81.50714
54,3,3,63,medium (3-4 steps),small (11-100),False,True,recovered,False,True,recovered,12.690284,7.4131455,82.20135,48.243084
55,2,2,29,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,15.125798,7.294487,91.37117,43.255356
56,2,2,37,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.824672,8.09173,105.02443,51.659485
57,2,2,60,easy (1-2 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,9.726172,8.20819,68.975945,52.47483
58,3,2,55,medium (3-4 steps),small (11-100),True,False,regressed,False,False,both_wrong,11.290952,10.815157,85.73156,76.94677
59,2,2,24,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,16.405045,8.096955,80.40237,50.484215
60,3,3,26,medium (3-4 steps),small (11-100),True,False,regressed,False,False,both_wrong,11.420328,8.461871,74.7023,54.22785
61,3,3,42,medium (3-4 steps),large (>1K),True,True,both_correct,True,True,both_correct,12.967194,8.116649,91.821396,57.44977
62,3,2,46,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,9.043934,7.699235,62.88015,49.428734
63,6,6,59,hard (5-6 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,11.397647,10.266143,84.62153,84.556595
64,2,2,79,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,12.719299,5.962326,80.521194,38.036068
65,4,4,39,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.718139,9.026966,93.57579,68.4331
66,5,5,50,hard (5-6 steps),small (11-100),False,False,both_wrong,True,False,regressed,11.335181,7.8818016,85.83118,52.513905
67,3,3,39,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,14.743278,9.524214,110.91568,73.72644
68,3,3,28,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.828896,7.8362036,113.81204,54.30035
69,2,2,40,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.465991,7.987935,99.841835,45.574184
70,4,4,36,medium (3-4 steps),large (>1K),False,True,recovered,False,False,both_wrong,11.109625,10.763093,87.16998,90.01515
71,2,2,37,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.939257,7.58614,89.17163,44.43046
72,3,3,35,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.447554,9.617181,123.178024,62.064445
73,4,4,31,medium (3-4 steps),medium (101-1K),False,True,recovered,False,False,both_wrong,13.164129,9.331117,100.16339,70.05104
74,7,4,77,very hard (7+ steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.328833,9.872606,84.0478,70.32246
75,5,5,55,hard (5-6 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,11.681531,8.866551,78.15187,60.24901
76,5,5,70,hard (5-6 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,12.974486,10.002143,99.21128,84.92559
77,3,2,38,medium (3-4 steps),small (11-100),True,False,regressed,True,True,both_correct,13.0482435,8.079854,93.609955,48.849487
78,5,5,31,hard (5-6 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,11.213989,9.334791,87.96754,73.952934
79,2,2,32,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.048303,7.301909,76.72,46.34871
80,4,4,26,medium (3-4 steps),tiny (≤10),True,True,both_correct,False,True,recovered,13.084676,8.703717,91.86499,58.60171
81,3,2,46,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.021391,8.643028,102.916534,61.758923
82,2,2,22,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.454016,9.548744,116.70582,65.91504
83,2,2,22,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.697477,7.7195544,88.18806,44.778942
84,6,3,18,hard (5-6 steps),small (11-100),True,True,both_correct,False,True,recovered,13.473061,8.607589,103.23918,58.87405
85,3,3,70,medium (3-4 steps),small (11-100),True,True,both_correct,True,False,regressed,11.272802,8.171851,66.60255,60.97702
86,3,3,78,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.210006,8.010637,104.91643,55.863853
87,4,3,64,medium (3-4 steps),large (>1K),False,False,both_wrong,False,False,both_wrong,10.660597,6.812782,65.60079,43.16734
88,4,0,23,medium (3-4 steps),large (>1K),True,True,both_correct,True,True,both_correct,8.658297,4.931476,35.799747,27.673773
89,2,2,35,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,10.562327,8.617183,75.96912,60.028736
90,4,4,72,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,13.432073,8.78162,95.87723,64.28095
91,3,3,30,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.088628,8.490877,102.52183,62.42357
92,3,2,38,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,9.122889,7.550145,67.776955,47.818935
93,3,3,54,medium (3-4 steps),small (11-100),True,False,regressed,False,False,both_wrong,12.023904,7.30944,89.22928,47.627808
94,4,3,44,medium (3-4 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,13.85038,9.188906,91.17048,60.584473
95,4,4,29,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.235845,9.835428,101.29792,84.472855
96,2,2,25,easy (1-2 steps),tiny (≤10),True,True,both_correct,True,True,both_correct,13.835923,7.1691117,93.74701,44.38962
97,3,3,41,medium (3-4 steps),small (11-100),True,True,both_correct,False,True,recovered,10.118434,6.8518534,70.858826,45.17323
98,2,1,76,easy (1-2 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,10.405371,7.2506375,81.88203,40.90945
99,4,4,63,medium (3-4 steps),small (11-100),False,True,recovered,True,True,both_correct,10.971053,9.040502,73.70791,70.10701
100,6,6,71,hard (5-6 steps),medium (101-1K),False,False,both_wrong,False,False,both_wrong,11.793397,10.445166,85.48193,70.14996
101,3,3,60,medium (3-4 steps),tiny (≤10),False,False,both_wrong,True,False,regressed,12.340218,8.007574,85.37331,51.017727
102,3,3,55,medium (3-4 steps),small (11-100),False,False,both_wrong,False,False,both_wrong,9.911307,7.6976733,71.16087,50.955864
103,2,2,54,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.277365,6.6460795,108.73696,38.21502
